时间,评分,版本,标题,内容
2026-04-24T19:36:49-07:00,5,9.28,内容丰富，但还不够强大,"App内可以轻松的找到自己需要的文化内容，相较于其他软件，这是很大一优势。给用户的体验是以视频的形式呈现，制作精良。容易一言中的，很快就能见得到核心需求的投送。搜索引擎也很强大，输入关键词汇，即可相应找到自己真正匹配的价值取向。主页刷新也很酷，会实时更新最新潮流资讯。

遗憾的是，我还不能从中找到一些类似于哈佛、斯坦福、麻省理工的大师课程的类似讲解。这让酷爱学术科普、交流的我少了些乐趣。

期待更好的小红书！诚挚谢意！"
2026-04-24T19:27:21-07:00,1,9.28,iPad小红书一评论就卡死,iPad小红书一评论就卡死，什么年代还有这么差的产品！不知道是世界第一傻Siri有问题还是小红书本身有问题
2026-04-24T18:57:43-07:00,1,9.27.1,很差,莫名其妙就给违规
2026-04-24T18:51:52-07:00,1,9.28,建议改名小红叔,一个靠女性用户发家的app，爱男到极致。吃相难看。
2026-04-24T18:45:59-07:00,5,9.28,还可以吧,本人是个小学生，就偶尔用小红书去唱歌，所以有没有实名验证用一下？其实不发评论不发帖子用的还是挺好的，随便刷刷音乐剧啊什么的都不错，在上面也可以多学习，学习很有用，就是我也不知道为什么会有那么多人给一心，而且还是4:09。
2026-04-24T18:37:34-07:00,1,9.28,小红书只会捂嘴别用了 早日倒闭,垃圾评论也不让说 不让打一星呵呵呵呵 这个app越来越垃圾了 已经从人人分享生活到了现在别人随意发疯辱骂 我义正严辞指出问题都能被举报封禁 打电话发消息联系客服更是没有一点用 直接被堵死 根本不让向上反馈 垃圾软件 还有最近火起来的新帖子 性别一换身价过万 更是被捂嘴 连正常讨论都不允许了么 女性意识觉醒是碍着你小红书了吗 员工是大小周上班的 用户是没有言论自由 被机器直接误判也没有申诉途径的 什么垃圾软件啊 内部怎么管理的 祝早日到吧
2026-04-24T18:12:26-07:00,1,9.28,敏感肌来的吧,这么爱封号不去当太监可惜了，册封大典少了你们都不行
2026-04-24T16:56:43-07:00,1,9.28,垃圾小红书,强制要求实名制 各种限制 最垃圾的软件 没有之一
2026-04-24T16:48:23-07:00,5,9.27.1,生活兴趣一站式聚集地,以前用小红书用得少，一次偶然机会开始关注小红书，发现上面可以找到兴趣相投的朋友，真的很好用
2026-04-24T16:42:54-07:00,1,9.28,未成年人模式，为什么不可以退出，我想要退出青少年模式。,不想要青少年模式可以退出。
2026-04-24T16:08:00-07:00,2,9.28,表情包！,为什么我只能发原配表情包我收藏表情包为什么发不了！
2026-04-24T15:28:34-07:00,1,9.28,逆天软件,恶心人
2026-04-24T14:45:46-07:00,1,9.28,小红书你不要莫名其妙,半夜醒来禁言，禁止发布什么，正常聊天也不行？互动也不行，那到底什么行
2026-04-24T13:52:30-07:00,1,9.28,小红书你倒闭吧,我什么违规作品都没发，我也没有评论过任何人，我甚至还没有看过别人的帖子，无缘无故给我来个永久封号，你人生是有多不幸啊，见不得别人开心是吧，你的评论区已经全是差评了，还不知道改进，偏要作死，你要是不能干，就赶紧倒闭好吧，啥也不是
2026-04-24T12:41:33-07:00,5,9.28,榕树下的糖水店,汕头糖水店天花板
2026-04-24T12:22:33-07:00,1,9.28,无语，不要乱永久封号,作为一个多年爱小红书的人真的很无语，玩了两三年的小红书，今天莫名其妙就给我封禁了，申诉也没有结果能不能认真明白封号是什么前提下封的你跟我说是广告传销，但是我进30天没有私信，也没有发作品，究竟是为什么？
2026-04-24T11:24:52-07:00,1,9.28,太拉,就是很垃圾，什么玩意
2026-04-24T10:31:01-07:00,1,9.28,中国的社交软件帮着外国黑自己国家,真的是全部中国人的耻辱
2026-04-24T10:08:41-07:00,1,9.28,乱收集信息别下载,我最早玩这个软件的时候就是看看文章什么的，也没在这个平台赚什么钱别的行为最多的就是在帖子下面互动，不知道什么时候开始，这个app就开始收集个人信息，你不实名不能用，请问呢，实名就算了还要你人脸验证，拜托。你这个人脸还是强制性实名，你实名对象针对点在软件上面赚钱的你不去管理，我就一个路人在软件上面随便看看你不强制更新实名还不让使用这个软件了，吃相这么难看。
2026-04-24T09:47:50-07:00,1,9.28,无故禁言,服了平常不怎么用的，今天一上号，嘿，禁言，去找客服又说不出个所以然，我不知道你为什么被禁言，但是你就是被禁言了而且不能改，666
2026-04-24T09:29:02-07:00,1,9.28,莫名其妙限制我部分应用？,有病吧！！活不起了！
2026-04-24T09:00:23-07:00,3,9.28,图片压缩严重,图片大小压缩太严重，上传的图片很模糊
2026-04-24T08:39:55-07:00,5,9.28,好😌,好👌
2026-04-24T08:28:19-07:00,5,9.28,返回时卡顿,在使用mac时，打开笔记三指后退时会有卡顿
2026-04-24T08:00:42-07:00,1,9.28,不要无缘无故禁言,发了一个很正常的作品 ，平台却说违规，而且已经发生过很多次了，一个很正常的作品被说成违规，而且禁言，禁言的时候我发了一个作品直接封号了，这一次次的对我们的耐心打磨
2026-04-24T08:00:07-07:00,2,9.28,别封号,好烦
2026-04-24T06:59:31-07:00,1,9.28,垃圾app 审核瞎审,全是诈骗犯也不管 60万卖学位的举报也没用
2026-04-24T06:30:21-07:00,2,9.28,偷偷更新，更的一坨,拉一大坨
2026-04-24T05:48:36-07:00,1,9.28,一个无缘无故的平台,这是一个无缘无故莫名其妙就会将你限流，屏蔽你账号发布的帖子、评论的平台。规则不透明，用户完全被平台戏耍。祝你们早日凉透吧
2026-04-24T05:40:00-07:00,1,9.28,无故封号,必须身份验证，不然不给号
2026-04-24T05:22:06-07:00,1,9.28,。。。,不要总是封号…
2026-04-24T05:16:23-07:00,5,9.28,整体来说很不错的,画面优美 喜欢看 爱看的 挺好用的app
2026-04-24T05:09:34-07:00,3,9.28,苹果iPad,首先苹果iPad发不了表情包，然后不能点好，有时候评论还会出bug，就是评论被截掉一部分，然后退出再进去就又好了，能不能修修？
2026-04-24T05:04:55-07:00,2,9.28,能不能管管转转矩阵号啊,现在小红书的评论区没有真人了，全被转转xxx的转转矩阵号攻陷了…
2026-04-24T04:32:15-07:00,5,9.28,挺好的,好👌！！！！！！！！
2026-04-24T04:30:23-07:00,1,9.28,监管技术不行客服也不行 一坨,监管技术很垃圾，误封还申诉不了。从来没有评论过App，这次气炸了，很好奇这个app是怎么生存下去的，赶紧倒闭吧！一辈子不用！
2026-04-24T04:25:11-07:00,1,9.28,垃圾,垃圾，汉奸
2026-04-24T03:53:25-07:00,1,9.27.1,垃圾,非常垃圾，没有人情味
2026-04-24T03:38:00-07:00,3,9.28,😅,不打开app还不能看到全部的图了😅
2026-04-24T03:15:55-07:00,5,9.28,好,不错
2026-04-24T02:32:08-07:00,5,9.27.1,阿猫阿狗向前冲,太棒了
2026-04-24T02:03:17-07:00,1,9.28,小红书,我的小红书账号被封！找也找不回来，申诉也是机器人回复↩️没有什么意义
2026-04-24T01:40:23-07:00,1,9.28,没人想看你推荐的精选视频,我用小红书不就是为了刷我自己感兴趣的，有什么我想知道的我就自己搜了，瞎给我推什么热点视频，有些主题看了都恶心
2026-04-24T01:30:17-07:00,5,9.28,优质小红书,优质小红书，我的最爱😍
2026-04-24T01:29:25-07:00,5,9.28,好看😍,好吃的美食挺多的   好看的美甲  美景哈哈哈干活
2026-04-24T01:24:15-07:00,1,9.28,莫名其妙,审核机制莫名其妙
2026-04-24T01:11:17-07:00,5,9.28,健身养生,很喜欢颈脖然这样的博主 没那么多里格楞 上来就几个动作引论领 非常有效率
2026-04-24T01:04:29-07:00,1,9.28,好样的,莫名其妙就会被封被警告被禁言，我必须给个一星好评支持一下
2026-04-24T00:37:57-07:00,1,9.28,小红书狗东西,小红书，NMGGB，给你打一分都是高看你。动不动无辜封号。
2026-04-24T00:30:25-07:00,1,9.28,违规收集信息,莫名其妙就给我封号了，非要我实名认证，还让我人脸认证，手机号不能认证吗，明明手机号就能解决的事，非要收集我的人脸信息，一点都不尊重我的隐私，不知道要拿我的人脸信息去干什么。我问为啥封我的号也说不出来。
2026-04-24T00:18:23-07:00,5,9.28,可以连播了真不错,ipad收藏列表连播！！！！plz
2026-04-24T00:11:36-07:00,5,9.28,很棒很棒,满分
2026-04-23T23:19:09-07:00,4,9.28,点击发现页视频内容就会无故闪退,以前从没出现过这种状况，这两天只要点击发现页的视频内容就会闪退，希望能尽快修复。
2026-04-23T22:50:32-07:00,1,9.28,请列举说明具体哪里违规了,莫名其妙 根本不清楚自己哪里违规了 就被禁言 禁发布 申诉直接拒绝 直接卸载 搞得多🐂🍻一样
2026-04-23T22:50:18-07:00,1,9.28,挺垃圾的 莫名奇妙的就永久封号,垃圾
2026-04-23T22:20:53-07:00,1,9.28,小红书总是莫名其妙违规,好多次这样了，莫名其妙就违规，给了一堆违规的条款，然后又不说清楚是哪条。每次我都是正常社区交流评论，突然就会有一天莫名其妙说我违规，点进去又看不懂，永远都看不懂那些违规的原因，说的很官方又很多话！！真是无语，然后找客服，客服又说给我反馈一下，反馈了个寂寞，也一点用都没有！！！就是违规了就是违规了也不给我个具体理由！！
2026-04-23T22:19:50-07:00,1,9.28,永久封号,不让申诉 申诉一直不通过 说什么用常用设备处理 我就只有这个设备我去哪里找别的设备来处理 用你们平台多少年了 难道要找出我以前用的手机来处理吗 手机都坏了卖了 我去哪里找你告诉我 登录设备里也只有我本人目前用的设备 我去哪里找什么所谓的常用设备来 联系客服说什么她们安全系统检测疑似我不是本人 那我是谁 我不是我 那我是谁 真的莫名其妙 我还得证明我是我自己 主要是都没有地方给我证明 就说疑似我不是本人 不给我申诉账号 你疑似你都不确认一下吗 用了这么多年了 客服客服回信息慢得很
2026-04-23T22:10:51-07:00,1,9.28,小红书凭什么无缘无故封禁账号,为什么不允许封号后注销，注销后凭什么扣留用户信息，国家都不会随意判死刑，小红书就这么霸道吗？没关系，等着你们越做越烂。
2026-04-23T21:43:44-07:00,5,9.28,喜欢,good
2026-04-23T21:24:18-07:00,1,9.28,账号违规审核不严谨,不懂该产品封号的依据在哪里，有些低俗、刷单、什么乱七八糟的内容的账号不整改，却莫名其妙对一些新号，无过激言论的账号进行封号处理，询问客服违规依据、资料却找不到具体违规点，说是根据该产品的工作经验而进行对账号筛选并加以封号处理。真的是无语至极！！
2026-04-23T21:20:07-07:00,1,9.28,wbxl,怎么无缘无故封号😓
2026-04-23T20:55:37-07:00,5,9.28,太多盗图抄袭者 举报也没用,report三次和有明确的proof 但是没有任何对盗窃者处罚或删除盗图搬运的笔记 service也是keep on talking nonsense there is no bottom line on rednote hooray!!! everybody put u hands up💃💃
2026-04-23T20:33:03-07:00,1,9.28,大问题,设置 问题 客服 购物客服 查购物货运信息 完全都没办法使用 说工程师在抢走 可是我朋友的xhs 都可以用。 我把苹果最新IOS 都安装了 卸载了好多次 都没办法！
2026-04-23T20:23:56-07:00,5,9.27.1,完美,非常非常喜欢
2026-04-23T19:55:49-07:00,1,9.27.1,无理由无证据封禁账号！收集人脸信息,想不到没有金融功能和政府功能的社交APP有什么理由需要采集人脸生物信息！不实名就强制永久封禁！
2026-04-23T19:48:47-07:00,1,9.27.1,田园女权,就是这种**软件，在肆无忌惮的培养着扭曲的社会价值观，让一堆**女性在里面土嗨，影响一些正常人的心智，不封禁等着毁了这些人么
2026-04-23T19:43:36-07:00,4,9.27.1,能不能出个消息批量删除啊！,一个个删除太麻烦了要好久好久！
2026-04-23T18:24:08-07:00,1,9.27.1,莫名其妙封号,会监控你的聊天记录 然后自行给你封号 我跟我对象聊天 它直接给我封号了666
2026-04-23T17:57:54-07:00,1,9.27.1,女生，特别是小女生不能玩的软件,三观不正
2026-04-23T17:42:23-07:00,5,9.27.1,倒闭吧 破产吧,一点事都没有就给别人账号处罚 工作人员全是傻的 一群吃白饭的 不负责任的都是s
2026-04-23T11:15:56-07:00,1,9.27.1,审核政策和客服组还不打算整改吗？,既然隐私设置支持用户设置为不允许他人评论，但此用户可以随意给其他人评论。那么你们的举报机制就应该跟到位。现在有部分用户利用这样的隐私设置，在平台上到处主动评论随意辱骂他人。而被骂的人无法回复他。这种评论，你们支持他发布出来已经很逆天了，举报多次还举报不成功更是逆天。你们的客服更是永远只会回复一模一样的话术，不实际解决问题。人工客服和智能客服没什么区别。在用户体验上做的差劲至极。
2026-04-23T10:38:36-07:00,5,9.27.1,挺好,可以
2026-04-23T10:34:15-07:00,1,9.27.1,为什么账号会被另一个账号连带注销,我昨天小号上登录着，想注销账户，不知道为什么连带着我的大号也注销了，没有显示注销，可以艾特出来可私信可评论  ，但是没法登录，再登录那个手机号就是新号了，就是我现在的账号，这是为什么?
2026-04-23T09:49:27-07:00,1,9.27.1,辣鸡软件,辣鸡软件
2026-04-23T08:55:23-07:00,1,9.27.1,不要封号啦,无故封号啊
2026-04-23T08:44:46-07:00,1,9.27.1,为什么要有自动更新的功能？,请给出能够关闭自动更新的选择
2026-04-23T08:43:19-07:00,1,9.27.1,不明白为什么老是限流,"很喜欢小红书，一直用着，但是之前有一次猫猫生病了，下面有网友支招，猫猫好了之后我统一回复治好了，只是说用了什么类型的药，想把方法教给更多的毛孩子家长，又没有说牌子就说我虚假宣传什么的，我及时把那条统一回复的评论删了也没用，然后封了一周号，申诉也没用，之后就一直限流，刷到那些很明显一看就是打广告的笔记反而没事，不懂这个封号机制
还有没设置性别之前登陆主页就总推荐擦边什么的，像个巨大的鸡窝，等自己设置好性别之后慢慢养号主页推荐才是那种girls help girls 的画风。
那么多擦边引流号不封，封我这个正常用户，我用这么久了，这次真的很失望
二编：又一次平白无故给我封号了，真是气笑了，你们小红书的审核机制就是每天随机封用户的号吗，该封的引流擦边不封"
2026-04-23T08:31:45-07:00,1,9.27.1,没有提示就屏蔽帖子,不给任何理由，没有任何提示
2026-04-23T08:31:05-07:00,1,9.27.1,什么时候彻底开放评论多图？iPad版本也没有表情包功能,嗯
2026-04-23T08:20:30-07:00,1,9.27.1,为什么莫名其妙封我账号,我真服了为什么实名认证还不够还要扫脸 本来就是未成年居多你还搞这种鬼东西 我就改了个简介就给我封号了是有毛病吗 真的是受够了要不是我喜欢的创作者在小红书上我就给你卸载了你不能发作品就不发 你禁言是啥意思 本来可以和朋友好好互动的就都被你毁了烦死了😡
2026-04-23T08:14:02-07:00,1,9.27.1,垃圾,垃圾软件
2026-04-23T07:11:16-07:00,5,9.27.1,O,O
2026-04-23T06:57:32-07:00,1,9.27.1,关于评论,经常把别人的评论禁掉
2026-04-23T06:44:55-07:00,5,9.27.1,实用,非常好用的
